EID,Sex,Age,EHQ_Total,Commercial_Use,Full_Pheno
NDARAD269FZD,0,6.087268,6.67,Yes,Yes
NDARLL386VRE,1,8.31086,40,Yes,Yes
NDARAH373VWM,0,17.060574,100,Yes,Yes
NDARRK431RX8,1,7.19336,93.34,Yes,Yes
NDARLP183TNJ,0,7.013232,76.67,Yes,Yes
NDARXK254YD2,0,6.706023,100,Yes,Yes
NDARBD347AG0,1,8.792265,6.6,Yes,Yes
NDARKN170UXD,0,12.855806,62.27,Yes,Yes
NDARMM628VVA,0,6.64579,90,Yes,Yes
NDARJT921KTH,0,9.299224,60,Yes,Yes
NDARNF362NU0,0,9.978211,86.67,Yes,Yes
NDARAE854KGZ,0,12.727241,83.34,Yes,Yes
NDARTF825ADA,0,6.246178,-50,Yes,Yes
NDAREC447FDH,0,11.697239,100,Yes,Yes
NDARXJ635PWG,1,9.608259,66.67,Yes,Yes
NDARUP000VHQ,0,10.75268,100,Yes,Yes
NDARUM518PU1,0,6.246406,66.67,Yes,Yes
NDARMW299ZAB,0,10.61864,93.34,Yes,Yes
NDARVF884HMM,0,6.42448,86.67,Yes,Yes
NDARLV046ETD,0,6.912046,90,Yes,Yes
NDARAX346KH7,1,5.646475,93.34,Yes,Yes
NDARTN842FEV,0,12.379534,53.34,Yes,Yes
NDARMT791WDH,1,12.1167,60,Yes,Yes
NDARND375WF5,1,12.014715,46.67,Yes,Yes
NDARFB400WNC,0,6.309263,40,Yes,Yes
NDARJX025DG3,0,9.422655,40,Yes,Yes
NDARCG343UF4,1,8.954483,53.34,Yes,Yes
NDARUD894UP6,1,9.589208,53.34,Yes,Yes
NDARCT119UKU,1,10.969427,53.34,Yes,Yes
NDARZR293TKN,0,7.785306,13.27,Yes,Yes
NDARGP528YU2,1,15.579739,73.34,Yes,Yes
NDARKC766JE9,1,6.582819,36.67,Yes,Yes
NDARNX218VBX,0,6.626967,20,Yes,Yes
NDARPC425VY2,1,7.201688,80,Yes,Yes
NDARYJ293XH4,1,9.011864,96.67,Yes,Yes
NDARJE530VRG,1,8.526579,40,Yes,Yes
NDARRN143CV4,1,11.319872,20,Yes,Yes
NDARVY962GB5,0,13.674537,100,Yes,Yes
NDARRU560AGK,0,13.55373,93.34,Yes,Yes
NDARWZ866BBM,0,13.969541,46.67,Yes,Yes
NDARRV492PC9,1,11.109171,40,Yes,Yes
NDARVP520BAW,1,6.263175,6.67,Yes,Yes
NDARBK487AYA,1,15.448551,54.47,Yes,Yes
NDARGF837AGX,0,8.96532,100,Yes,Yes
NDARGH230EG2,0,10.191877,53.34,Yes,Yes
NDARFB263RJK,0,11.051676,73.34,Yes,Yes
NDARAR160ZPZ,1,5.520647,86.67,Yes,Yes
NDARMT872JZZ,1,7.453456,95.6,Yes,Yes
NDARZX384XVQ,0,5.8355,100,Yes,Yes
NDARLZ648MVJ,1,9.967488,86.67,Yes,Yes
NDARCZ236ERR,0,12.603353,100,Yes,Yes
NDARYR692VVC,0,13.33744,56.67,Yes,Yes
NDARYK657ZLC,1,7.34725,86.67,Yes,Yes
NDARKM061NHZ,0,10.979922,20,Yes,Yes
NDARLT294VUD,1,18.443874,56.67,Yes,Yes
NDARFV973BE1,0,8.986767,73.34,Yes,Yes
NDARXP930ZTG,1,14.741729,100,Yes,Yes
